Column1,Wind Farm Name,GPS Coordinates,Number of Turbines,Rotor diameter,Minimum hub height,Maximum hub height,Cut-in wind speed,Cut-off wind speed,Rated wind speed,Rated power,Url,Manufacturer
128,"Dromdeeveen Wind Farm (1)
Wind",POINT (-9.03912563316182 52.33213233162971),6,80,60,100,3.5,25,14.5,"2,000",https://www.thewindpower.net/windfarm_en_18140_dromdeveen-1.php,Vestas
129,"Dromdeeveen Wind Farm (2)
Wind",POINT (-9.030245777595129 52.32758983878279),8,80,60,100,3.5,25,14.5,"2,000",https://www.thewindpower.net/windfarm_en_24077_dromdeveen-2.php,Vestas
130,Drumlough Hill (2) (Lough Doo),POINT (-7.441968858251897 55.20030969459173),12,52,44,65,4,25,16,850,https://www.thewindpower.net/windfarm_en_11115_drumlough-hill-extension.php,Gamesa
131,"Drumlough Hill Wind Farm
Wind",POINT (-7.438520690305142 55.20423797754429),8,47,40,55,4.5,25,14,660,https://www.thewindpower.net/windfarm_en_1703_drumlough-hill.php,"Hansen, Flender, Valmet"
132,"Dundalk IT Wind Turbine
Wind",POINT (-6.391145453775204 53.98363130608549),0,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1731_dundalk-it.php,Vestas
133,Dunmore 2,POINT (-6.53310366511256 53.78598153091148),2,44,45,55,3,25,17,900,https://www.thewindpower.net/windfarm_en_11133_dunmore-(ie).php,Enercon
134,Dunmore Wind Farm,POINT (-6.53281593382875 53.78770354266177),2,44,45,55,3,25,17,900,https://www.thewindpower.net/windfarm_en_3842_dunmore-(ie).php,Enercon
136,Esk Wind Farm Phase 1,POINT (-8.846824263047278 52.01638409932585),8,44,45,55,3,25,17,900,https://www.thewindpower.net/windfarm_en_32648_esk.php,Enercon
139,Faughary Wind Farm,POINT (-8.137586281114555 54.34015415537524),3,82,78,138,2,25,12.5,"2,000",https://www.thewindpower.net/windfarm_en_22460_faughary.php,Enercon
140,Flughland,POINT (-7.275820006256636 55.14175638690676),4,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_19355_flughland.php,Enercon
141,Foyle Wind Farm (prev Holmes Hill),POINT (-7.461565725650879 52.63908311597067),4,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_27252_foyle.php,Enercon
142,Garracummer (2),POINT (-8.148249706643552 52.64372799949334),17,90,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_24929_garracummer.php,"LM Glasfiber, Nordex"
